date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:55:51	266678/266678	---MCZ	200	added ('OK')	text/html	etag:W/%226337fff9-411b6%22	https://htmldemo.net/malias/malias/index.html	E:/XuanBac/htmldemo.net/malias/malias/index.html	(from )
18:55:52	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Mar%202024%2011:55:51%20GMT	https://htmldemo.net/robots.txt		(from )
18:55:52	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%226338004d-47e%22	https://htmldemo.net/malias/malias/img/favicon.ico	E:/XuanBac/htmldemo.net/malias/malias/img/favicon.ico	(from https://htmldemo.net/malias/malias/index.html)
18:55:53	195456/195456	---MCZ	200	added ('OK')	text/css	etag:W/%2263380023-2fb80%22	https://htmldemo.net/malias/malias/css/bootstrap.min.css	E:/XuanBac/htmldemo.net/malias/malias/css/bootstrap.min.css	(from https://htmldemo.net/malias/malias/index.html)
18:55:54	27470/27470	---MCZ	200	added ('OK')	text/css	etag:W/%2263380022-6b4e%22	https://htmldemo.net/malias/malias/css/font-awesome.min.css	E:/XuanBac/htmldemo.net/malias/malias/css/font-awesome.min.css	(from https://htmldemo.net/malias/malias/index.html)
18:55:54	3357/3357	---MCZ	200	added ('OK')	text/css	etag:W/%226338002b-d1d%22	https://htmldemo.net/malias/malias/css/owl.carousel.css	E:/XuanBac/htmldemo.net/malias/malias/css/owl.carousel.css	(from https://htmldemo.net/malias/malias/index.html)
18:55:55	8429/8429	---MCZ	200	added ('OK')	text/css	etag:W/%2263380146-20ed%22	https://htmldemo.net/malias/malias/lib/css/nivo-slider.css	E:/XuanBac/htmldemo.net/malias/malias/lib/css/nivo-slider.css	(from https://htmldemo.net/malias/malias/index.html)
18:55:55	2822/2822	---MCZ	200	added ('OK')	text/css	etag:W/%226338002a-b06%22	https://htmldemo.net/malias/malias/css/meanmenu.min.css	E:/XuanBac/htmldemo.net/malias/malias/css/meanmenu.min.css	(from https://htmldemo.net/malias/malias/index.html)
18:55:56	36437/36437	---MCZ	200	added ('OK')	text/css	etag:W/%2263380024-8e55%22	https://htmldemo.net/malias/malias/css/jquery-ui.css	E:/XuanBac/htmldemo.net/malias/malias/css/jquery-ui.css	(from https://htmldemo.net/malias/malias/index.html)
18:55:57	74096/74096	---MCZ	200	added ('OK')	text/css	etag:W/%2263380020-12170%22	https://htmldemo.net/malias/malias/css/animate.css	E:/XuanBac/htmldemo.net/malias/malias/css/animate.css	(from https://htmldemo.net/malias/malias/index.html)
18:55:57	6008/6008	---MCZ	200	added ('OK')	text/css	etag:W/%2263380025-1778%22	https://htmldemo.net/malias/malias/css/main.css	E:/XuanBac/htmldemo.net/malias/malias/css/main.css	(from https://htmldemo.net/malias/malias/index.html)
18:55:58	66108/66108	---MCZ	200	added ('OK')	text/css	etag:W/%226338000e-1023c%22	https://htmldemo.net/malias/malias/style.css	E:/XuanBac/htmldemo.net/malias/malias/style.css	(from https://htmldemo.net/malias/malias/index.html)
18:55:58	8296/8296	---MCZ	200	added ('OK')	text/css	etag:W/%2263380031-2068%22	https://htmldemo.net/malias/malias/css/responsive.css	E:/XuanBac/htmldemo.net/malias/malias/css/responsive.css	(from https://htmldemo.net/malias/malias/index.html)
18:55:59	699/699	---MC-	200	added ('OK')	image/png	date:Wed,%2013%20Mar%202024%2011:55:58%20GMT	https://htmldemo.net/malias/malias/img/flags/gb.png	E:/XuanBac/htmldemo.net/malias/malias/img/flags/gb.png	(from https://htmldemo.net/malias/malias/index.html)
